Timestamp,?????????,???????,????????????????,???(???????),????????(???),???????? Bts(km),???????????????,??????,??????????,???????????????(km),??????????????????????(km),????????????????????,???????????????,????????????,????????????,?????????????????,??????????????,?????????????????(???/???????),??????????(?.?.),????????,Column1
2019/04/05 10:01:45 AM GMT+7,624 ?????,5,8,???????,26,2.8,1,??,?????,2.5,15,???;????????;????????????,1000,1,1,12000,?????,250000,2556,1500000,
2019/04/05 10:19:00 AM GMT+7,Pause condo,6,8,?????,26,0.8,0.3,??,??,4,1,???;????????;????????????,1200,1,1,40000,????????,111000,2559,2400000,
2019/04/05 11:05:08 AM GMT+7,?????????? ?????????,5,10,?????????,43,10,1,??,??,15,4,???;????????;????????????,1200,1,1,30000,Sc asset,120000,2561,3000000,
2019/04/05 11:10:19 AM GMT+7,?????  ?????,17,34,?????,35,0.1,1,??,??,0.1,1,???;????????;????????????;??????????????,1000,1,1,30000,????? ?????,100000,2561,2700000,
2019/04/05 11:13:47 AM GMT+7,Porch condo,6,7,???????,41,1,1,??,??,1,2,???;????????;????????????;??????????????,1200,1,1,20000,??? ????????????,140000,2561,2800000,
2019/04/05 1:11:54 PM GMT+7,ONYX,8,26,????? (?????????),34,240,1,??,??,0.15,7.4,???;????????;????????????,16320,1,1,150000,???????,200000,2556,4480000,
2019/04/05 1:15:17 PM GMT+7,The Address,3,8,???????? 42,45,0.36,1,??,??,0.4,1.7,???;????????;????????????,19440,1,1,150000,AP,250000,2552,4900000,
2019/04/05 1:21:53 PM GMT+7,The Crest ????????11,17,30,?????,83,1.3,138/163,??,??,3.4,1,???;????????????;??????,3320,2,2,3.7*,????? ?????? ????????????,84668,2555,9900000,
2019/04/05 1:34:36 PM GMT+7,Noble Reform,12,22, ?????,37,0.35,114,??,??,1.3,7,????????????;??????????,22200,1,1,-,?????? ?????? ????????????? ????? (?????),128000,2555,7900000,
2019/04/05 1:42:25 PM GMT+7,Lumpini Ville Ratchaphruek-Bangwaek,4,8,?????????,22.56,4.8,325,??,??,4.2,18,????????????,786,1,1,-,?????? ???.??.????. ????????????? ????? (?????),52000,2559,1350000,
2019/04/05 1:49:07 PM GMT+7,Bangkok Horizon Ratchada-Thaphra,8,30, ??????,33,1.1,253,??,??,900,7.9,???;????????????;?????????????,1023,1,1,-,?????? ??????????????? ????? (?????),69697,2557,2300000,
