timestamp,condo_name,floor_original,floor_zscore,floor_iqr,floor,total_floor_original,total_floor_zscore,total_floor_iqr,total_floor,district,chatuchak,bangna,ramintra,samrong,laksi,phayathai,sukhumvit_42,phasi_charoen,thonburi,samutprakarn_city,bangkokyai,bangkhae,praram_2,bangkhen,suanluang,chomthong,klongsan,room_size_original,room_size_zscore,room_size_iqr,room_size,bts_distance_original,bts_distance_zscore,bts_distance_iqr,bts_distance,parking_car_per_room,fitnest,fitnest_binary,swim_pool,swim_pool_binary,shopping_mall_distance_original,shopping_mall_distance_zscore,shopping_mall_distance_iqr,shopping_mall_distance,toll_distance_original,toll_distance_zscore,toll_distance_iqr,toll_distance,security_system,guard,key_card,cctv,face_scan,common_fee_charge_original,common_fee_charge_zscore,common_fee_charge_iqr,common_fee_charge,bed_room_no_original,bed_room_no_zscore,bed_room_iqr,bed_room,bathroom_no_original,bathroom_no_zscore,bathroom_no_iqr,bathroom_no,total_funiture_price_original,total_funiture_price_zscore,total_funiture_price_iqr,total_funiture_price,owner_name,cost_estimate_original,cost_estimate_zscore,cost_estimate_iqr,cost_estimate,year_built_original,year_built_zscore,year_built_iqr,year_built,price
2019/04/05 10:01:45 AM GMT+7,624 คอนโด,5.00,-0.54,5.00,-0.59,8.00,-1.01,8.00,-1.01,จตุจักร,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.00,-0.64,26.00,-0.80,2.80,-0.03,2.80,0.25,1,มี,1,ไม่มี,0,2.50,0.04,2.50,0.24,15.00,1.81,15.00,1.91,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1000.00,-0.37,1000.00,-0.37,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,12000.00,-0.83,12000.00,-1.03,พฤกษา,250000.00,1.13,198000.00,2.04,2556,-0.74,2556,-0.74,1500000.00
2019/04/05 10:19:00 AM GMT+7,Pause condo,6.00,-0.37,6.00,-0.37,8.00,-1.01,8.00,-1.01,บางนา,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.00,-0.64,26.00,-0.80,0.80,-0.52,0.80,-0.65,0.3,มี,1,มี,1,4.00,0.60,4.00,1.19,1.00,-1.31,1.00,-1.35,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1200.00,-0.13,1200.00,-0.05,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,40000.00,-0.81,40000.00,-1.01,ออริจิ้น,111000.00,-0.16,111000.00,0.01,2559,0.34,2559,0.34,2400000.00
2019/04/05 11:05:08 AM GMT+7,แซมเบอรเฌอ รามอินทรา,5.00,-0.54,5.00,-0.59,10.00,-0.81,10.00,-0.81,รามอินทรา,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.00,0.64,43.00,1.30,10.00,1.72,6.25,1.81,1,มี,1,มี,1,15.00,4.73,6.00,2.47,4.00,-0.64,4.00,-0.65,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1200.00,-0.13,1200.00,-0.05,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,30000.00,-0.82,30000.00,-1.02,Sc asset,120000.00,-0.07,120000.00,0.22,2561,1.05,2561,1.05,3000000.00
2019/04/05 11:10:19 AM GMT+7,เมโทร  สำโรง,17.00,1.52,17.00,2.04,34.00,1.61,34.00,1.61,สำโรง,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.00,0.04,35.00,0.31,0.10,-0.69,0.10,-0.97,1,มี,1,มี,1,0.10,-0.86,0.10,-1.28,1.00,-1.31,1.00,-1.35,รปภ;คีย์การ์ด;กล้องวงจรปิด;ระบบแสกนใบหน้า,1,1,1,1,1000.00,-0.37,1000.00,-0.37,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,30000.00,-0.82,30000.00,-1.02,เมโทร โปลิส,100000.00,-0.26,100000.00,-0.24,2561,1.05,2561,1.05,2700000.00
2019/04/05 11:13:47 AM GMT+7,Porch condo,6.00,-0.37,6.00,-0.37,7.00,-1.11,7.00,-1.11,หลักสี่,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41.00,0.49,41.00,1.05,1.00,-0.47,1.00,-0.56,1,มี,1,มี,1,1.00,-0.52,1.00,-0.71,2.00,-1.09,2.00,-1.11,รปภ;คีย์การ์ด;กล้องวงจรปิด;ระบบแสกนใบหน้า,1,1,1,1,1200.00,-0.13,1200.00,-0.05,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,20000.00,-0.83,20000.00,-1.03,ริช พรอพเพอร์ตี้,140000.00,0.11,140000.00,0.69,2561,1.05,2561,1.05,2800000.00
2019/04/05 1:11:54 PM GMT+7,ONYX,8.00,-0.03,8.00,0.07,26.00,0.80,26.00,0.80,พญาไท,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34.00,-0.04,34.00,0.19,0.24,-0.66,0.24,-0.91,1,มี,1,มี,1,0.15,-0.84,0.15,-1.25,7.40,0.12,7.40,0.14,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1632.00,0.39,1632.00,0.63,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,150000.00,-0.74,150000.00,-0.90,แสนสิริ,200000.00,0.67,198000.00,2.04,2556,-0.74,2556,-0.74,4480000.00
2019/04/05 1:15:17 PM GMT+7,The Address,3.00,-0.89,3.00,-1.03,8.00,-1.01,8.00,-1.01,สุขุมวิท 42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.00,0.79,45.00,1.54,0.36,-0.63,0.36,-0.85,1,มี,1,มี,1,0.40,-0.75,0.40,-1.09,1.70,-1.15,1.70,-1.18,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1944.00,0.77,1944.00,1.12,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,150000.00,-0.74,150000.00,-0.90,AP,250000.00,1.13,198000.00,2.04,2552,-2.17,2552,-2.17,4900000.00
2019/04/05 1:21:53 PM GMT+7,The Crest พหลโยธิน11,17.00,1.52,17.00,2.04,30.00,1.21,30.00,1.21,พญาไท,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,83.00,3.65,47.75,1.88,1.30,-0.40,1.30,-0.43,138/163,มี,1,มี,1,3.40,0.38,3.40,0.81,1.00,-1.31,1.00,-1.35,รปภ;กล้องวงจรปิด,1,0,1,0,3320.00,2.44,2570.00,2.12,2.00,1.92,1.00,0.00,2.00,3.88,1.00,0.00,1240495.65,0.00,1240495.65,0.17,เอสซี แอสเสท คอร์ปอเรชั่น,84668.00,-0.40,84668.00,-0.60,2555,-1.10,2555,-1.10,9900000.00
2019/04/05 1:34:36 PM GMT+7,Noble Reform,12.00,0.66,12.00,0.95,22.00,0.40,22.00,0.40,พญาไท,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.00,0.19,37.00,0.56,0.35,-0.63,0.35,-0.86,114,มี,1,มี,1,1.30,-0.41,1.30,-0.52,7.00,0.03,7.00,0.05,กล้องวงจรปิด,0,0,1,0,2220.00,1.11,2220.00,1.56,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1240495.65,0.00,1240495.65,0.17,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),128000.00,0.00,128000.00,0.41,2555,-1.10,2555,-1.10,7900000.00
2019/04/05 1:42:25 PM GMT+7,Lumpini Ville Ratchaphruek-Bangwaek,4.00,-0.71,4.00,-0.81,8.00,-1.01,8.00,-1.01,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.56,-0.90,22.56,-1.22,4.80,0.45,4.80,1.15,325,มี,1,มี,1,4.20,0.68,4.20,1.32,18.00,2.48,15.25,1.97,กล้องวงจรปิด,0,0,1,0,786.00,-0.63,786.00,-0.71,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1240495.65,0.00,1240495.65,0.17,บริษัท แอล.พี.เอ็น. ดีเวลลอปเมนท์ จำกัด (มหาชน),52000.00,-0.70,52000.00,-1.36,2559,0.34,2559,0.34,1350000.00
